HPI rank;Country;ISO;Continent;Unnamed: 4;Population (thousands);Year;LifeExp (years);Ladder of life (0-10);Footprint (g ha);HPI;Biocapacity for year (g ha);GDP per capita ($)
8;Guatemala;GTM;1;2019GTM;17581.476;2019;74.3;6.262175083;1.772629006;57.87555297;1.56;8637.464165
120;Guinea;GIN;5;2019GIN;12771.246;2019;61.6;4.76768446;1.770611073;38.06100367;1.56;2562.082921
119;Haiti;HTI;1;2019HTI;11263.079;2019;64;3.614928007;0.618312421;38.19941901;1.56;2905.439081
9;Honduras;HND;1;2019HND;9746.115;2019;75.3;5.930051327;1.580107488;57.73411068;1.56;5727.973572
138;Hong Kong;HKG;8;2019HKG;7436.157;2019;84.9;5.659317017;8.601888167;33.8906582;1.56;59847.55428
69;Hungary;HUN;7;2019HUN;9684.68;2019;76.9;6.000259876;4.067559062;45.44647998;1.56;32639.5083
52;Iceland;ISL;3;2019ISL;339.037;2019;83;7.532504559;6.455306668;47.95688519;1.56;55699.71639
128;India;IND;6;2019IND;1366417.756;2019;69.7;3.24876976;1.219981627;36.37213182;1.56;6700.062225
44;Indonesia;IDN;8;2019IDN;270625.567;2019;71.7;5.346512794;1.735159206;49.59797812;1.56;11812.19764
84;Iran;IRN;4;2019IRN;82913.893;2019;76.7;5.006145954;3.115897585;43.632488;1.56;12389.22159
71;Iraq;IRQ;4;2019IRQ;39309.789;2019;70.6;4.835783005;1.736921221;45.27885667;1.56;10881.17209
35;Ireland;IRL;3;2019IRL;4882.498;2019;82.3;7.254841328;5.196829053;51.14850813;1.56;86826.3351
49;Israel;ISR;4;2019ISR;8519.373;2019;83;7.331779957;6.11135185;48.24342147;1.56;40200.28742
40;Italy;ITA;3;2019ITA;60550.092;2019;83.5;6.445416927;4.453128053;50.69761829;1.56;42416.41671
7;Jamaica;JAM;1;2019JAM;2948.277;2019;74.5;6.309238911;1.840191003;57.90362846;1.56;9761.498522
57;Japan;JPN;8;2019JPN;126860.299;2019;84.6;5.908039093;4.710935754;47.06372618;1.56;41667.1791
83;Jordan;JOR;4;2019JOR;10101.697;2019;74.5;4.452548027;2.030631176;43.85457626;1.56;10071.38287
118;Kazakhstan;KAZ;7;2019KAZ;18551.428;2019;73.6;6.272268295;5.718624171;38.64493232;1.56;26351.80444
72;Kenya;KEN;5;2019KEN;52573.967;2019;66.7;4.618850231;0.987102409;45.18295778;1.56;4329.87139
140;Kuwait;KWT;4;2019KWT;4207.077;2019;75.5;6.106119633;7.765422422;33.32497187;1.56;49853.57645
25;Kyrgyzstan;KGZ;7;2019KGZ;6415.851;2019;71.5;5.685220718;1.439890394;53.70421002;1.56;5253.667034
90;Laos;LAO;8;2019LAO;7169.456;2019;67.9;5.196856022;2.275418923;42.78420143;1.56;7826.388595
136;Latvia;LVA;7;2019LVA;1906.74;2019;75.3;5.969753742;7.151485607;34.14497266;1.56;30965.45186
116;Lebanon;LBN;4;2019LBN;6855.709;2019;78.9;4.024219513;3.051294827;38.99983124;1.56;14551.58522
149;Lesotho;LSO;5;2019LSO;2125.267;2019;54.3;3.5117805;1.453869813;27.30855036;1.56;2704.415261
66;Liberia;LBR;5;2019LBR;4937.374;2019;64.1;5.121460915;1.065146506;46.0225342;1.56;1427.81909
91;Libya;LBY;4;2019LBY;6777.453;2019;72.9;5.33022213;3.208879734;42.68543403;1.56;15174.16475
125;Lithuania;LTU;7;2019LTU;2759.631;2019;75.9;6.064097881;6.418018228;36.85726815;1.56;37181.00294
143;Luxembourg;LUX;3;2019LUX;615.73;2019;82.3;7.404015541;12.58940703;31.72336953;1.56;114304.0442
80;Madagascar;MDG;5;2019MDG;26969.306;2019;67;4.339087486;0.86518582;44.1806548;1.56;1647.02116
117;Malawi;MWI;5;2019MWI;18628.749;2019;64.3;3.869123697;0.8931181;38.70654232;1.56;1059.72349
95;Malaysia;MYS;8;2019MYS;31949.789;2019;76.2;5.427954197;4.06984805;41.74073777;1.56;28364.48697
114;Mali;MLI;5;2019MLI;19658.023;2019;59.3;4.98799181;1.414121906;39.34192686;1.56;2321.594445
85;Malta;MLT;3;2019MLT;440.377;2019;82.5;6.73297739;6.501664888;43.5028292;1.56;43585.36486
132;Mauritania;MRT;5;2019MRT;4525.698;2019;64.9;4.152619362;2.244926551;34.66241836;1.56;5197.074547
32;Mauritius;MUS;5;2019MUS;1269.67;2019;75;6.241165161;2.851947239;51.52077767;1.56;22870.28625
23;Mexico;MEX;1;2019MEX;127575.529;2019;75;6.431945324;2.578322892;54.33059101;1.56;19765.91608
37;Moldova;MDA;7;2019MDA;4043.258;2019;71.9;5.803450584;2.041505872;50.96889516;1.56;13022.0046
151;Mongolia;MNG;8;2019MNG;3225.166;2019;69.9;5.562905312;10.08471331;24.46703662;1.56;12316.78755
101;Montenegro;MNE;7;2019MNE;627.988;2019;76.9;5.386024952;4.222767782;41.33038029;1.56;21602.69568
39;Morocco;MAR;4;2019MAR;36471.766;2019;76.7;5.056751728;1.822641984;50.87309546;1.56;7514.720881
79;Mozambique;MOZ;5;2019MOZ;30366.043;2019;60.9;4.932132721;0.720906458;44.18803798;1.56;1281.391836
107;Myanmar;MMR;8;2019MMR;54045.422;2019;67.1;4.43423748;1.751745181;40.04479079;1.56;5142.154166
126;Namibia;NAM;5;2019NAM;2494.524;2019;63.7;4.435811043;1.94275258;36.80911639;1.56;9637.180351
27;Nepal;NPL;6;2019NPL;28608.715;2019;70.8;5.448724747;1.202942693;53.05560432;1.56;3416.791282
18;Netherlands;NLD;3;2019NLD;17097.123;2019;82.3;7.42526865;4.593482329;54.94941705;1.56;56809.96717
11;New Zealand;NZL;2;2019NZL;4783.062;2019;82.3;7.205174446;3.873951708;57.43448131;1.56;43148.44605
16;Nicaragua;NIC;1;2019NIC;6545.503;2019;74.5;6.112545013;2.03830319;55.19364394;1.56;5407.1207
100;Niger;NER;5;2019NER;23310.719;2019;62.4;5.003544331;1.51281053;41.35091295;1.56;1224.510472
137;Nigeria;NGA;5;2019NGA;200963.603;2019;54.7;4.356419086;0.992864564;34.13821364;1.56;5135.499571
82;North Macedonia;MKD;7;2019MKD;2083.458;2019;75.8;5.015485287;2.953336353;43.85874421;1.56;16660.45011
38;Norway;NOR;3;2019NOR;5378.859;2019;82.4;7.442139626;5.509702465;50.87519275;1.56;64962.26227
73;Pakistan;PAK;6;2019PAK;216565.317;2019;67.3;4.442717552;0.873785382;45.10544179;1.56;4690.484755
42;Palestine, State of;PSE;4;2019PSE;4981.422;2019;74;4.48253727;0.935436498;50.25928365;1.56;6219.960291
6;Panama;PAN;1;2019PAN;4246.44;2019;78.5;6.085955143;2.095497138;57.93216985;1.56;31458.69263
55;Paraguay;PRY;1;2019PRY;7044.639;2019;74.3;5.652625561;2.795780376;47.60305593;1.56;12685.1134
15;Peru;PER;1;2019PER;32510.462;2019;76.7;5.999381542;2.087987089;55.89352023;1.56;12847.88521
12;Philippines;PHL;8;2019PHL;108116.622;2019;71.2;6.267745018;1.502025499;57.10321898;1.56;8908.175977
74;Poland;POL;7;2019POL;37887.771;2019;78.7;6.24209404;4.770052414;45.0226049;1.56;33226.26592
63;Portugal;PRT;3;2019PRT;10226.178;2019;82;6.095473289;4.776021175;46.26293284;1.56;34904.68577
