Country;Happiness score;Dystopia (1.92) + residual;GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
Slovenia;5.948;1.522;1.219;1.506;0.856;0.633;0.16;0.051
Romania;5.945;2.269;1.116;1.219;0.726;0.528;0.088;0.001
Latvia;5.933;2.139;1.148;1.454;0.671;0.363;0.092;0.066
Japan;5.915;1.39;1.294;1.462;0.988;0.553;0.079;0.15
Mauritius;5.891;1.851;1.09;1.387;0.684;0.584;0.245;0.05
Jamaica;5.89;2.182;0.819;1.493;0.693;0.575;0.096;0.031
South Korea;5.875;1.98;1.266;1.204;0.955;0.244;0.175;0.051
Northern Cyprus;5.835;1.659;1.229;1.211;0.909;0.495;0.179;0.154
Russia;5.81;2.091;1.151;1.479;0.599;0.399;0.065;0.025
Kazakhstan;5.79;1.778;1.143;1.516;0.631;0.454;0.148;0.121
Cyprus;5.762;1.774;1.229;1.191;0.909;0.423;0.202;0.035
Bolivia;5.752;2.469;0.751;1.223;0.508;0.606;0.141;0.054
Estonia;5.739;1.457;1.2;1.532;0.737;0.553;0.086;0.174
Paraguay;5.681;1.932;0.835;1.522;0.615;0.541;0.162;0.074
Peru;5.663;2.151;0.934;1.249;0.674;0.53;0.092;0.034
Kosovo;5.662;2.255;0.855;1.23;0.578;0.448;0.274;0.023
Moldova;5.64;2.659;0.657;1.301;0.62;0.232;0.171;0
Turkmenistan;5.636;1.918;1.016;1.533;0.517;0.417;0.199;0.037
Hungary;5.62;1.974;1.171;1.401;0.732;0.259;0.061;0.022
Libya;5.566;1.918;0.985;1.35;0.553;0.496;0.116;0.148
Philippines;5.524;2.056;0.775;1.312;0.513;0.643;0.12;0.105
Honduras;5.504;2.328;0.62;1.205;0.622;0.459;0.197;0.074
Belarus;5.483;1.684;1.039;1.498;0.7;0.307;0.101;0.154
Turkey;5.483;1.729;1.148;1.38;0.686;0.324;0.106;0.109
Pakistan;5.472;2.923;0.652;0.81;0.424;0.334;0.216;0.113
Hong Kong SAR, China;5.43;0.644;1.405;1.29;1.03;0.524;0.246;0.291
Portugal;5.41;1.276;1.188;1.429;0.884;0.562;0.055;0.017
Serbia;5.398;1.905;0.975;1.369;0.685;0.288;0.134;0.043
Greece;5.358;1.948;1.154;1.202;0.879;0.131;0;0.044
Tajikistan;5.352;2.248;0.474;1.179;0.598;0.503;0.214;0.136
Montenegro;5.347;1.87;1.017;1.279;0.729;0.259;0.111;0.081
Croatia;5.321;1.769;1.115;1.161;0.737;0.38;0.12;0.039
Dominican Republic;5.302;1.461;0.982;1.441;0.614;0.578;0.12;0.106
Algeria;5.295;2.209;0.979;1.154;0.687;0.077;0.055;0.135
Morocco;5.254;2.448;0.779;0.797;0.669;0.46;0.026;0.074
China;5.246;1.586;0.989;1.142;0.799;0.597;0.029;0.103
Azerbaijan;5.201;1.776;1.024;1.161;0.603;0.43;0.031;0.176
Lebanon;5.199;1.771;0.965;1.166;0.785;0.292;0.187;0.034
